resume_text,job_description_text,match_score
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Backend Developer required with experience in Node.js and Express.,0
"Data Analyst proficient in Power BI, Excel, and data visualization.",Need a Data Analyst to work with Power BI and Excel.,1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.",Backend Developer required with experience in Node.js and Express.,0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.",Need a Data Analyst to work with Power BI and Excel.,0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,1
"Backend Developer with knowledge of Node.js, Express, and MongoDB.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Backend Developer required with experience in Node.js and Express.,0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Hiring Software Engineer skilled in Java and Microservices.,1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Need a Data Analyst to work with Power BI and Excel.,0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Backend Developer required with experience in Node.js and Express.,0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Data Analyst proficient in Power BI, Excel, and data visualization.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Hiring Software Engineer skilled in Java and Microservices.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Hiring Software Engineer skilled in Java and Microservices.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Backend Developer required with experience in Node.js and Express.,0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Hiring Software Engineer skilled in Java and Microservices.,1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Backend Developer required with experience in Node.js and Express.,0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Data Analyst proficient in Power BI, Excel, and data visualization.",Hiring Software Engineer skilled in Java and Microservices.,0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Backend Developer required with experience in Node.js and Express.,0
"Data Analyst proficient in Power BI, Excel, and data visualization.",Need a Data Analyst to work with Power BI and Excel.,1
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.",Hiring Software Engineer skilled in Java and Microservices.,0
"Data Analyst proficient in Power BI, Excel, and data visualization.",Need a Data Analyst to work with Power BI and Excel.,1
"Data Analyst proficient in Power BI, Excel, and data visualization.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Need a Data Analyst to work with Power BI and Excel.,0
"Data Analyst proficient in Power BI, Excel, and data visualization.",Need a Data Analyst to work with Power BI and Excel.,1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Backend Developer with knowledge of Node.js, Express, and MongoDB.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Hiring Software Engineer skilled in Java and Microservices.,0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Hiring Software Engineer skilled in Java and Microservices.,1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Data Analyst proficient in Power BI, Excel, and data visualization.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Need a Data Analyst to work with Power BI and Excel.,0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Data Analyst proficient in Power BI, Excel, and data visualization.",Hiring Software Engineer skilled in Java and Microservices.,0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Data Analyst proficient in Power BI, Excel, and data visualization.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
"Data Analyst proficient in Power BI, Excel, and data visualization.",Backend Developer required with experience in Node.js and Express.,0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",0
"Experienced Data Scientist skilled in Python, Machine Learning, and SQL.",Backend Developer required with experience in Node.js and Express.,0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.",Hiring Software Engineer skilled in Java and Microservices.,1
"Data Analyst proficient in Power BI, Excel, and data visualization.",Hiring Software Engineer skilled in Java and Microservices.,0
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.","Seeking Marketing Specialist for SEO, PPC, and digital campaigns.",1
"Marketing Specialist with experience in SEO, PPC, and Google Analytics.",Hiring Software Engineer skilled in Java and Microservices.,0
"Backend Developer with knowledge of Node.js, Express, and MongoDB.",Backend Developer required with experience in Node.js and Express.,0
"Software Engineer with expertise in Java, Spring Boot, and Microservices.","Looking for a Data Scientist with expertise in Python, ML, and SQL.",1
